,Competence: 0.55,,,,,Competence: 0.65,,,
# of Rounds,ST,MG,EG,SG,,ST,MG,EG,SG
139,0.964,0.016,0.02,0,,0.024,0.344,0.596,0.036
140,0.952,0.016,0.032,0,,0.016,0.332,0.632,0.02
141,0.984,0.004,0.012,0,,0.02,0.272,0.692,0.016
142,0.988,0.004,0.008,0,,0.02,0.2,0.764,0.016
143,0.984,0.008,0.008,0,,0.024,0.264,0.688,0.024
144,0.984,0.004,0.012,0,,0.02,0.344,0.608,0.028
145,0.98,0.008,0.012,0,,0.012,0.272,0.712,0.004
146,0.992,0.004,0.004,0,,0.02,0.176,0.792,0.012
147,0.964,0.02,0.016,0,,0.016,0.28,0.672,0.032
148,0.956,0.012,0.032,0,,0.004,0.256,0.7,0.04
149,0.996,0,0.004,0,,0.012,0.228,0.744,0.016
150,0.984,0.004,0.012,0,,0.008,0.248,0.72,0.024
151,0.968,0.02,0.012,0,,0.004,0.308,0.672,0.016
152,0.98,0.012,0.008,0,,0.004,0.288,0.704,0.004
153,0.968,0.016,0.016,0,,0,0.228,0.752,0.02
154,0.98,0,0.02,0,,0.02,0.236,0.72,0.024
155,0.972,0.016,0.012,0,,0.012,0.38,0.592,0.016
156,0.972,0.016,0.012,0,,0.016,0.224,0.732,0.028
157,0.98,0.012,0.008,0,,0.024,0.24,0.72,0.016
158,0.964,0.012,0.024,0,,0.02,0.212,0.736,0.032
159,0.976,0.012,0.012,0,,0.008,0.208,0.74,0.044
160,0.976,0.016,0.008,0,,0.004,0.244,0.716,0.036
161,0.964,0.012,0.024,0,,0.004,0.304,0.68,0.012
162,0.948,0.024,0.028,0,,0.004,0.28,0.704,0.012
163,0.964,0.004,0.032,0,,0.012,0.28,0.68,0.028
164,0.932,0.012,0.056,0,,0.02,0.296,0.664,0.02
165,0.948,0.024,0.028,0,,0.028,0.288,0.656,0.028
166,0.952,0.016,0.032,0,,0.004,0.284,0.684,0.028
167,0.936,0.024,0.04,0,,0.016,0.276,0.696,0.012
168,0.968,0.012,0.02,0,,0.032,0.248,0.704,0.016
169,0.984,0.008,0.004,0.004,,0.024,0.304,0.632,0.04
170,0.972,0.008,0.02,0,,0.024,0.276,0.672,0.028
171,0.96,0.016,0.024,0,,0.016,0.208,0.752,0.024
172,0.968,0,0.032,0,,0.016,0.2,0.748,0.036
173,0.952,0.028,0.02,0,,0.008,0.22,0.724,0.048
174,0.956,0.02,0.024,0,,0.008,0.276,0.668,0.048
175,0.972,0.008,0.02,0,,0.008,0.24,0.716,0.036
176,0.984,0.008,0.008,0,,0.008,0.212,0.744,0.036
177,0.968,0.016,0.016,0,,0.004,0.304,0.668,0.024
178,0.976,0.004,0.02,0,,0.008,0.304,0.648,0.04
179,0.956,0.016,0.028,0,,0.008,0.276,0.696,0.02
180,0.948,0.024,0.028,0,,0.004,0.224,0.744,0.028
181,0.968,0.004,0.028,0,,0,0.256,0.704,0.04
182,0.968,0.008,0.02,0.004,,0.008,0.28,0.708,0.004
183,0.956,0.032,0.012,0,,0.024,0.3,0.66,0.016
184,0.98,0.016,0.004,0,,0.028,0.268,0.7,0.004
185,0.984,0.004,0.012,0,,0.02,0.388,0.58,0.012
186,0.98,0.004,0.016,0,,0.02,0.244,0.728,0.008
187,0.952,0.012,0.036,0,,0.028,0.272,0.684,0.016
188,0.956,0.012,0.032,0,,0.008,0.272,0.712,0.008
189,0.948,0.008,0.044,0,,0.02,0.268,0.696,0.016
190,0.964,0.024,0.012,0,,0.008,0.336,0.612,0.044
191,0.972,0.012,0.012,0.004,,0.012,0.212,0.764,0.012
192,0.968,0.02,0.008,0.004,,0.02,0.268,0.692,0.02
193,0.96,0.024,0.016,0,,0.02,0.252,0.724,0.004
194,0.956,0.016,0.028,0,,0.012,0.296,0.68,0.012
195,0.952,0.032,0.016,0,,0.032,0.296,0.652,0.02
196,0.948,0.02,0.032,0,,0.012,0.368,0.6,0.02
197,0.96,0.012,0.028,0,,0.004,0.312,0.656,0.028
198,0.976,0.008,0.016,0,,0.012,0.204,0.78,0.004
199,0.98,0.004,0.016,0,,0.004,0.24,0.744,0.012
200,0.96,0.016,0.024,0,,0.008,0.212,0.764,0.016
